Model,Threshold,Accuracy,Sensitivity,Specificity,F1-Score,Precision
XGBoost_tuned_v2,0.5,0.34285714285714286,1.0,0.0,0.5106382978723404,0.34285714285714286
LogisticRegression_tuned_v2,0.5,0.5428571428571428,0.5,0.5652173913043478,0.42857142857142855,0.375
RandomForest_tuned_v2,0.5,0.6,0.4166666666666667,0.6956521739130435,0.4166666666666667,0.4166666666666667
SVM_tuned_v2,0.5,0.6571428571428571,0.3333333333333333,0.8260869565217391,0.4,0.5
KNN_tuned_v2,0.5,0.6857142857142857,0.16666666666666666,0.9565217391304348,0.26666666666666666,0.6666666666666666
